First Time Buyer Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa And Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne County,Ventura,Yolo,Yuba,,,,,,
2009.2,67%,76%,55%,NA,NA,NA,43%,NA,NA,78%,NA,NA,NA,NA,NA,NA,56%,NA,37%,NA,NA,84%,NA,NA,NA,NA,53%,NA,NA,79%,79%,NA,82%,59%,36%,NA,50%,39%,55%,58%,46%,NA,NA,NA,62%,NA,NA,NA,NA,NA,59%,NA,NA,,,,,,
2009.3,64%,76%,52%,NA,NA,NA,42%,NA,NA,76%,NA,NA,NA,NA,NA,NA,52%,NA,37%,NA,NA,83%,NA,NA,NA,NA,51%,NA,NA,78%,78%,NA,81%,56%,35%,NA,47%,40%,52%,53%,43%,NA,NA,NA,60%,NA,NA,NA,NA,NA,56%,NA,NA,,,,,,
2009.4,64%,78%,52%,NA,NA,NA,44%,NA,NA,77%,NA,NA,NA,NA,NA,NA,53%,NA,40%,NA,NA,84%,NA,NA,NA,NA,53%,NA,NA,78%,79%,NA,81%,57%,35%,NA,48%,41%,49%,52%,43%,NA,NA,NA,59%,NA,NA,NA,NA,NA,59%,NA,NA,,,,,,
2010.1,67%,79%,55%,NA,NA,NA,47%,NA,NA,78%,NA,NA,NA,79%,NA,NA,61%,79%,41%,NA,NA,86%,NA,74%,64%,NA,50%,75%,NA,77%,80%,NA,85%,58%,38%,NA,54%,43%,55%,56%,46%,NA,NA,83%,62%,NA,NA,NA,79%,NA,60%,NA,NA,,,,,,
2010.2,65%,78%,52%,NA,NA,NA,44%,NA,NA,78%,NA,NA,NA,79%,NA,NA,61%,81%,38%,NA,NA,84%,NA,72%,63%,NA,50%,76%,NA,76%,80%,NA,85%,58%,37%,NA,53%,41%,46%,52%,46%,NA,NA,83%,62%,NA,NA,NA,80%,NA,61%,NA,NA,,,,,,
2010.3,66%,79%,53%,NA,NA,NA,44%,NA,NA,79%,NA,NA,NA,80%,NA,NA,57%,81%,42%,NA,NA,85%,NA,75%,63%,NA,51%,77%,NA,77%,81%,NA,85%,60%,41%,NA,57%,43%,48%,54%,49%,NA,NA,85%,63%,NA,NA,NA,82%,NA,63%,NA,NA,,,,,,
2010.4,68%,81%,56%,NA,NA,NA,51%,NA,NA,81%,NA,NA,NA,82%,NA,NA,62%,83%,45%,NA,NA,87%,NA,76%,69%,NA,56%,79%,NA,79%,83%,NA,86%,62%,42%,NA,59%,49%,54%,59%,51%,NA,NA,85%,67%,NA,NA,NA,84%,NA,64%,NA,NA,,,,,,
2011.1,72%,82%,59%,NA,NA,NA,56%,NA,NA,83%,NA,NA,NA,85%,NA,NA,65%,82%,50%,NA,NA,87%,NA,77%,70%,NA,58%,81%,NA,80%,84%,NA,87%,63%,46%,NA,63%,55%,60%,63%,58%,NA,NA,87%,70%,NA,NA,NA,85%,NA,68%,NA,NA,,,,,,
2011.2,65%,82%,53%,NA,NA,NA,53%,NA,NA,80%,NA,NA,NA,86%,NA,NA,67%,86%,46%,NA,NA,87%,NA,77%,71%,NA,57%,82%,NA,81%,85%,NA,88%,58%,46%,NA,61%,47%,51%,59%,57%,NA,NA,88%,70%,NA,NA,NA,86%,NA,67%,NA,NA,,,,,,
2011.3,71%,81%,60%,NA,NA,NA,53%,NA,NA,83%,NA,NA,NA,88%,NA,NA,63%,87%,47%,NA,NA,86%,NA,76%,71%,NA,59%,82%,NA,81%,85%,NA,88%,65%,48%,NA,63%,51%,61%,60%,56%,NA,NA,87%,70%,NA,NA,NA,86%,NA,68%,NA,NA,,,,,,
